Id	Label	Color
308	Ave Maria	3
309	Miles	6
310	Chowan	6
311	Dartmouth	10
312	Wisconsin-Oshkosh	4
313	Mississippi College	7
314	Virginia-Wise	3
315	Arkansas Tech	7
316	West Liberty State	2
317	Alderson Broaddus	2
318	Limestone College	11
319	Kentucky Wesleyan	5
320	Wesley	3
